category;text;request_json;response_json
classifier;Найди минимальное, максимальное, среднее и медианное значения;;"{""category"":""spreadsheet-analysis"",""confidence"":0.978,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Посчитай среднюю зарплату;;"{""category"":""spreadsheet-analysis"",""confidence"":0.968,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Найди 10 городов с самым большим населением в списке;;"{""category"":""spreadsheet-search"",""confidence"":0.965,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;"Сгенерируй набор данных с колонками ""Имя"", ""Фамилия"", ""Пол"", ""Дата рождения"", ""Город"" заданной размерности";;"{""category"":""spreadsheet-generation"",""confidence"":0.983,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Примени чередующиеся цвета строк для улучшения читаемости;;"{""category"":""spreadsheet-formatting"",""confidence"":0.95,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":true,""needs_cell_values"":false,""needs_cell_styles"":true,""needs_column_metadata"":false}}"
classifier;"Объедини поля ""Имя"" и ""Фамилия"" в одно поле ""Полное имя""";;"{""category"":""spreadsheet-transformation"",""confidence"":0.921,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":true}}"
classifier;Создай столбчатую диаграмму по данным о доходах;;"{""category"":""data-chart"",""confidence"":0.974,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Построй график изменения цен за год;;"{""category"":""data-chart"",""confidence"":0.949,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Построй гистограмму распределения величины;;"{""category"":""data-histogram"",""confidence"":0.987,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":true}}"
classifier;Как использовать функцию ВПР для поиска данных в таблице?;;"{""category"":""spreadsheet-assistance"",""confidence"":0.95,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Нарисуй зимний пейзаж;;"{""category"":""uncertain"",""confidence"":1.0,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
data-chart;Построй график изменения величины во времени.;"{""data_range"":""A1:B16"",""chart_data"":[{""name"":""Дата"",""range"":""A2:A16"",""format"":""dd/mm/yyyy""},{""name"":""Цена"",""range"":""B2:B16"",""format"":""# ##0.00""}]}";"{""chart_type"":""lineNormal"",""title"":""Изменение цены во времени"",""subtitle"":null,""series_config"":{""x_axis_column"":0,""y_axis_columns"":[1],""series_names"":[""Цена""],""show_data_labels"":false,""smooth_lines"":true},""position"":{""x"":400,""y"":50,""width"":600,""height"":400,""anchor_cell"":""D2""},""styling"":{""color_scheme"":""office"",""font_family"":""Arial"",""font_size"":12,""background_color"":null,""border_style"":""none"",""legend_position"":""bottom""}}"
data-chart;Создай круговую диаграмму распределения расходов;"{""data_range"":""A1:B6"",""chart_data"":[{""name"":""Категория"",""range"":""A2:A6"",""format"":""General""},{""name"":""Сумма"",""range"":""B2:B6"",""format"":""#,##0""}]}";"{""chart_type"":""pie"",""title"":""Распределение расходов"",""subtitle"":null,""series_config"":{""x_axis_column"":0,""y_axis_columns"":[1],""series_names"":[""Сумма""],""show_data_labels"":true,""smooth_lines"":false},""position"":{""x"":250,""y"":200,""width"":400,""height"":300,""anchor_cell"":""D8""},""styling"":{""color_scheme"":""colorful"",""font_family"":""Arial"",""font_size"":11,""background_color"":null,""border_style"":""none"",""legend_position"":""right""}}"
data-chart;Построй линейный график изменения температуры;"{""data_range"":""A1:B8"",""chart_data"":[{""name"":""День"",""range"":""A2:A8"",""format"":""General""},{""name"":""Температура"",""range"":""B2:B8"",""format"":""0.0""}]}";"{""chart_type"":""lineNormal"",""title"":""Изменение температуры по дням"",""subtitle"":""Погодные условия недели"",""series_config"":{""x_axis_column"":0,""y_axis_columns"":[1],""series_names"":[""Температура °C""],""show_data_labels"":false,""smooth_lines"":true},""position"":{""x"":50,""y"":250,""width"":450,""height"":300,""anchor_cell"":""A10""},""styling"":{""color_scheme"":""office"",""font_family"":""Arial"",""font_size"":12,""background_color"":null,""border_style"":""solid"",""legend_position"":""top""}}"
data-chart;Создай диаграмму размаха для анализа зарплат по отделам;"{""data_range"":""A1:C16"",""chart_data"":[{""name"":""Сотрудник"",""range"":""A2:A16"",""format"":""General""},{""name"":""Отдел"",""range"":""B2:B16"",""format"":""General""},{""name"":""Зарплата"",""range"":""C2:C16"",""format"":""#,##0""}]}";"{""chart_type"":""bar"",""title"":""Распределение зарплат по отделам"",""subtitle"":""Статистический анализ"",""series_config"":{""x_axis_column"":1,""y_axis_columns"":[2],""series_names"":[""Зарплата""],""show_data_labels"":false,""smooth_lines"":false},""position"":{""x"":50,""y"":450,""width"":500,""height"":350,""anchor_cell"":""A20""},""styling"":{""color_scheme"":""modern"",""font_family"":""Arial"",""font_size"":11,""background_color"":""#F5F5F5"",""border_style"":""solid"",""legend_position"":""none""}}"
data-chart;Построй столбчатую диаграмму сравнения продаж по кварталам для нескольких продуктов;"{""data_range"":""A1:D5"",""chart_data"":[{""name"":""Квартал"",""range"":""A2:A5"",""format"":""General""},{""name"":""Продукт A"",""range"":""B2:B5"",""format"":""#,##0""},{""name"":""Продукт B"",""range"":""C2:C5"",""format"":""#,##0""},{""name"":""Продукт C"",""range"":""D2:D5"",""format"":""#,##0""}]}";"{""chart_type"":""bar"",""title"":""Сравнение продаж по кварталам"",""subtitle"":""Динамика продаж трех продуктов в 2024 году"",""series_config"":{""x_axis_column"":0,""y_axis_columns"":[1,2,3],""series_names"":[""Продукт A"",""Продукт B"",""Продукт C""],""show_data_labels"":true,""smooth_lines"":false},""position"":{""x"":500,""y"":100,""width"":650,""height"":450,""anchor_cell"":""F3""},""styling"":{""color_scheme"":""modern"",""font_family"":""Arial"",""font_size"":12,""background_color"":null,""border_style"":""solid"",""legend_position"":""top""}}"
data-chart;Создай точечную диаграмму для анализа корреляции между затратами на рекламу и продажами;"{""data_range"":""A1:C11"",""chart_data"":[{""name"":""Месяц"",""range"":""A2:A11"",""format"":""General""},{""name"":""Реклама (тыс. руб.)"",""range"":""B2:B11"",""format"":""#,##0""},{""name"":""Продажи (тыс. руб.)"",""range"":""C2:C11"",""format"":""#,##0""}]}";"{""chart_type"":""scatter"",""title"":""Корреляция между затратами на рекламу и продажами"",""subtitle"":""Анализ эффективности рекламных кампаний"",""series_config"":{""x_axis_column"":1,""y_axis_columns"":[2],""series_names"":[""Продажи от рекламы""],""show_data_labels"":false,""smooth_lines"":false},""position"":{""x"":100,""y"":350,""width"":550,""height"":400,""anchor_cell"":""B15""},""styling"":{""color_scheme"":""office"",""font_family"":""Arial"",""font_size"":11,""background_color"":null,""border_style"":""solid"",""legend_position"":""bottom""}}"
data-histogram;Построй гистограмму распределения цен товаров;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Товары"",""range"":""A1:B100""},""data"":{""header"":{""values"":[""Товар"",""Цена""],""range"":""A1:B1""},""rows"":[]},""columns"":[{""index"":0,""format"":""General"",""range"":""A2:A100""},{""index"":1,""format"":""# ##0.00"",""range"":""B2:B100"",""min"":50.0,""max"":5000.0,""median"":850.0,""count"":99}]}";"{""source_columns"":[1],""recommended_bins"":12,""range_column_name"":""Диапазон цен (руб.)"",""count_column_name"":""Количество товаров""}"
data-histogram;Сравни распределение продаж в двух регионах с помощью гистограммы;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Продажи"",""range"":""A1:C200""},""data"":{""header"":{""values"":[""Месяц"",""Регион А"",""Регион Б""],""range"":""A1:C1""},""rows"":[]},""columns"":[{""index"":0,""format"":""General"",""range"":""A2:A200""},{""index"":1,""format"":""#,##0"",""range"":""B2:B200"",""min"":15000.0,""max"":98000.0,""median"":45000.0,""count"":199},{""index"":2,""format"":""#,##0"",""range"":""C2:C200"",""min"":12000.0,""max"":105000.0,""median"":48000.0,""count"":199}]}";"{""source_columns"":[1,2],""recommended_bins"":10,""range_column_name"":""Диапазон продаж (руб.)"",""count_column_name"":""Количество периодов""}"
data-histogram;Построй гистограмму распределения времени выполнения задач;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Задачи"",""range"":""A1:B50""},""data"":{""header"":{""values"":[""Задача"",""Время (мин)""],""range"":""A1:B1""},""rows"":[]},""columns"":[{""index"":0,""format"":""General"",""range"":""A2:A50""},{""index"":1,""format"":""0"",""range"":""B2:B50"",""min"":5.0,""max"":120.0,""median"":35.0,""count"":49}]}";"{""source_columns"":[1],""recommended_bins"":8,""range_column_name"":""Временной интервал (мин)"",""count_column_name"":""Количество задач""}"
data-histogram;Построй гистограмму распределения результатов тестирования;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Результаты"",""range"":""A1:B500""},""data"":{""header"":{""values"":[""Студент"",""Балл""],""range"":""A1:B1""},""rows"":[]},""columns"":[{""index"":0,""format"":""General"",""range"":""A2:A500""},{""index"":1,""format"":""0"",""range"":""B2:B500"",""min"":0.0,""max"":100.0,""median"":67.0,""count"":499}]}";"{""source_columns"":[1],""recommended_bins"":15,""range_column_name"":""Диапазон баллов"",""count_column_name"":""Количество студентов""}"
data-histogram;Покажи распределение температуры за месяц;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Погода"",""range"":""A1:B32""},""data"":{""header"":{""values"":[""Дата"",""Температура""],""range"":""A1:B1""},""rows"":[]},""columns"":[{""index"":0,""format"":""DD.MM.YYYY"",""range"":""A2:A32""},{""index"":1,""format"":""0.0"",""range"":""B2:B32"",""min"":18.5,""max"":23.8,""median"":21.2,""count"":31}]}";"{""source_columns"":[1],""recommended_bins"":6,""range_column_name"":""Диапазон температур (°C)"",""count_column_name"":""Количество дней""}"
data-histogram;Построй гистограмму распределения зарплат сотрудников по отделам;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Зарплаты"",""range"":""A1:C150""},""data"":{""header"":{""values"":[""Сотрудник"",""Отдел"",""Зарплата""],""range"":""A1:C1""},""rows"":[]},""columns"":[{""index"":0,""format"":""General"",""range"":""A2:A150""},{""index"":1,""format"":""General"",""range"":""B2:B150""},{""index"":2,""format"":""# ##0.00"",""range"":""C2:C150"",""min"":35000.0,""max"":250000.0,""median"":75000.0,""count"":149}]}";"{""source_columns"":[2],""recommended_bins"":10,""range_column_name"":""Диапазон зарплат (руб.)"",""count_column_name"":""Количество сотрудников""}"
spreadsheet-analysis;Найди минимальное, максимальное, среднее и медианное значения цены;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Продажи"",""range"":""A1:C6""},""data"":{""header"":{""values"":[""Продукт"",""Количество"",""Цена""],""range"":""A1:C1""},""rows"":[{""values"":[""Товар A"",100,1500],""range"":""A2:C2""},{""values"":[""Товар B"",250,800],""range"":""A3:C3""},{""values"":[""Товар C"",180,1200],""range"":""A4:C4""},{""values"":[""Товар D"",90,2100],""range"":""A5:C5""},{""values"":[""Товар E"",320,650],""range"":""A6:C6""}]},""columns"":[{""index"":0,""format"":""General""},{""index"":1,""format"":""#,##0""},{""index"":2,""format"":""# ##0.00""}]}";"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Продажи"",""range"":""A1:C6""},""data"":{""header"":{""values"":[],""range"":""A1:A1""},""rows"":[{""values"":[""Минимальное:"",""=МИН(C2:C6)""],""range"":""A2:B2""},{""values"":[""Максимальное:"",""=МАКС(C2:C6)""],""range"":""A3:B3""},{""values"":[""Среднее:"",""=CРЗНАЧ(C2:C6)""],""range"":""A4:B4""},{""values"":[""Медиана:"",""=МЕДИАНА(C2:C6)""],""range"":""A5:B5""}]}}"
spreadsheet-analysis;Посчитай среднюю зарплату сотрудников;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Сотрудники"",""range"":""A1:H8""},""data"":{""header"":{""values"":[""Имя"",""Фамилия"",""Должность"",""Отдел"",""Зарплата"",""Дата приема"",""Возраст"",""Образование"",""Стаж""],""range"":""A1:I1""},""rows"":[{""values"":[""Анна"",""Иванова"",""Менеджер"",""Продажи"",85000,""01.03.2018"",32,""Высшее"",7],""range"":""A2:I2""},{""values"":[""Петр"",""Сидоров"",""Разработчик"",""IT"",120000,""15.06.2019"",28,""Высшее"",6],""range"":""A3:I3""},{""values"":[""Мария"",""Петрова"",""Аналитик"",""Финансы"",95000,""10.01.2020"",35,""Высшее"",5],""range"":""A4:I4""},{""values"":[""Сергей"",""Козлов"",""Дизайнер"",""Маркетинг"",75000,""22.09.2021"",26,""Среднее специальное"",4],""range"":""A5:I5""},{""values"":[""Елена"",""Смирнова"",""Бухгалтер"",""Финансы"",65000,""05.11.2017"",45,""Высшее"",8],""range"":""A6:I6""},{""values"":[""Александр"",""Волков"",""Руководитель"",""IT"",150000,""12.02.2016"",38,""Высшее"",9],""range"":""A7:I7""},{""values"":[""Ольга"",""Николаева"",""Секретарь"",""Администрация"",45000,""18.04.2022"",24,""Среднее"",3],""range"":""A8:I8""}]},""columns"":[{""index"":0,""format"":""General""},{""index"":1,""format"":""General""},{""index"":2,""format"":""General""},{""index"":3,""format"":""General""},{""index"":4,""format"":""#,##0""},{""index"":5,""format"":""dd/mm/yyyy""},{""index"":6,""format"":""#0""},{""index"":7,""format"":""General""},{""index"":8,""format"":""#0""}]}";"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Сотрудники"",""range"":""A1:H8""},""data"":{""header"":{""values"":[],""range"":""A1:A1""},""rows"":[{""values"":[""Средняя зарплата сотрудников:"",""=СРЗНАЧ(E2:E8)""],""range"":""A2:B2""}]}}"
spreadsheet-analysis;Проанализируй доходность по месяцам и найди месяц с максимальной прибылью;"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Финансовый отчет"",""range"":""A1:D13""},""data"":{""header"":{""values"":[""Месяц"",""Доходы"",""Расходы"",""Прибыль""],""range"":""A1:D1""},""rows"":[{""values"":[""Январь"",250000,180000,70000],""range"":""A2:D2""},{""values"":[""Февраль"",280000,195000,85000],""range"":""A3:D3""},{""values"":[""Март"",320000,210000,110000],""range"":""A4:D4""},{""values"":[""Апрель"",295000,205000,90000],""range"":""A5:D5""},{""values"":[""Май"",380000,225000,155000],""range"":""A6:D6""},{""values"":[""Июнь"",410000,240000,170000],""range"":""A7:D7""},{""values"":[""Июль"",450000,260000,190000],""range"":""A8:D8""},{""values"":[""Август"",425000,250000,175000],""range"":""A9:D9""},{""values"":[""Сентябрь"",395000,235000,160000],""range"":""A10:D10""},{""values"":[""Октябрь"",365000,220000,145000],""range"":""A11:D11""},{""values"":[""Ноябрь"",340000,215000,125000],""range"":""A12:D12""},{""values"":[""Декабрь"",475000,285000,190000],""range"":""A13:D13""}]},""columns"":[{""index"":0,""format"":""General""},{""index"":1,""format"":""#,##0""},{""index"":2,""format"":""#,##0""},{""index"":3,""format"":""#,##0""}]}";"{""metadata"":{""version"":""1.0""},""worksheet"":{""name"":""Финансовый отчет"",""range"":""A1:D13""},""data"":{""header"":{""values"":[],""range"":""A1:A1""},""rows"":[{""values"":[""Общая прибыль за год:"",""=СУММ(D2:D13)""],""range"":""A2:B2""},{""values"":[""Средняя прибыль по месяцам:"",""=СРЗНАЧ(D2:D13)""],""range"":""A3:B3""},{""values"":[""Максимальная прибыль:"",""=МАКС(D2:D13)""],""range"":""A4:B4""},{""values"":[""Месяц с максимальной прибылью:"",""=ИНДЕКС(A2:A13;ПОИСКПОЗ(МАКС(D2:D13);D2:D13;0))""],""range"":""A5:B5""},{""values"":[""Минимальная прибыль:"",""=МИН(D2:D13)""],""range"":""A6:B6""},{""values"":[""Месяц с минимальной прибылью:"",""=ИНДЕКС(A2:A13;ПОИСКПОЗ(МИН(D2:D13);D2:D13;0))""],""range"":""A7:B7""}]}}"
spreadsheet-assistance;Как использовать функцию СУММЕСЛИ для подсчета с условием?;;"{""text_content"":""Функция СУММЕСЛИ используется для суммирования значений ячеек, которые соответствуют определенному условию.\n\n**Синтаксис:**\nСУММЕСЛИ(диапазон; условие; диапазон_суммирования)\n\n**Параметры:**\n- диапазон — диапазон ячеек, к которым применяется условие\n- условие — критерий в виде числа, выражения или текста\n- диапазон_суммирования — фактический диапазон для суммирования (если отличается от диапазона проверки)\n\n**Пример использования:**\nПредположим, у вас есть таблица продаж с колонками \""Товар\"" (A) и \""Сумма\"" (B). Чтобы найти общую сумму продаж товара \""Яблоки\"":\n\n=СУММЕСЛИ(A2:A10; \""Яблоки\""; B2:B10)\n\nДля подсчета сумм больше 1000:\n=СУММЕСЛИ(B2:B10; \"">1000\"")\n\n**Связанные функции:**\n- СУММЕСЛИМН — для нескольких условий\n- СЧЁТЕСЛИ — для подсчета количества ячеек с условием""}"
spreadsheet-assistance;Какие функции доступны для работы с датами в Р7-Офис?;;"{""text_content"":""В Р7-Офис доступен широкий набор функций для работы с датами:\n\n**Основные функции:**\n\n1. **СЕГОДНЯ()** — возвращает текущую дату\n   Пример: =СЕГОДНЯ()\n\n2. **ТДАТА()** — возвращает текущую дату и время\n   Пример: =ТДАТА()\n\n3. **ДАТА(год; месяц; день)** — создает дату из компонентов\n   Пример: =ДАТА(2024; 6; 15) вернет 15.06.2024\n\n4. **ГОД(дата)**, **МЕСЯЦ(дата)**, **ДЕНЬ(дата)** — извлекают компоненты даты\n   Пример: =ГОД(A1) вернет год из даты в ячейке A1\n\n5. **РАЗНДАТ(начальная_дата; конечная_дата; единица)** — вычисляет разницу между датами\n   Единицы: \""Y\"" (годы), \""M\"" (месяцы), \""D\"" (дни)\n   Пример: =РАЗНДАТ(A1; B1; \""D\"") — количество дней между датами\n\n6. **ДЕНЬНЕД(дата)** — возвращает день недели (1-7)\n   Пример: =ДЕНЬНЕД(A1)\n\n7. **РАБДЕНЬ(начальная_дата; количество_дней)** — добавляет рабочие дни к дате\n   Пример: =РАБДЕНЬ(СЕГОДНЯ(); 10) — дата через 10 рабочих дней\n\n**Практический совет:**\nДля форматирования дат используйте формат ячейки \""Дата\"" в настройках форматирования.\n\n**Связанные темы:**\nРабота со временем, форматирование дат, календарные расчеты""}"
spreadsheet-assistance;Расскажи о возможностях условного форматирования;;"{""text_content"":""Условное форматирование в Р7-Офис позволяет автоматически изменять внешний вид ячеек на основе их содержимого.\n\n**Основные возможности:**\n\n1. **Выделение ячеек по значению:**\n   - Больше/меньше определенного числа\n   - Равно определенному значению\n   - Содержит текст\n   - Уникальные или повторяющиеся значения\n\n2. **Цветовые шкалы:**\n   - Градиентная заливка от минимального к максимальному значению\n   - Визуализация данных цветом (например, от красного к зеленому)\n\n3. **Гистограммы в ячейках:**\n   - Отображение относительных значений в виде полос\n   - Полезно для сравнения чисел в таблице\n\n4. **Наборы значков:**\n   - Стрелки, флажки, индикаторы\n   - Визуальная категоризация данных\n\n**Как применить:**\n1. Выделите диапазон ячеек\n2. Откройте меню \""Формат\"" → \""Условное форматирование\""\n3. Выберите тип правила\n4. Настройте условие и формат\n5. Примените правило\n\n**Пример использования:**\nДля таблицы продаж можно выделить:\n- Зеленым цветом продажи выше плана (>100000)\n- Красным цветом продажи ниже плана (<50000)\n- Желтым цветом средние показатели (50000-100000)\n\n**Преимущества:**\n- Быстрая визуальная оценка данных\n- Автоматическое обновление при изменении значений\n- Возможность применения нескольких правил\n\n**Связанные функции:**\nФорматирование ячеек, стили таблиц, визуализация данных""}"
